Group,Start,End,P/N,Description,ATA,Unit Hours,U/S Rem.,Rate U/S Rem.,U/S Rem rate UCL,Failures,Rate Fail.,Conf. Fail.,Other Fail.,No Fault,Not Reported,Not Reported %,MTBUR,MTBUR LCL,MTBUR %,MTTUR,MTBF,MTBF LCL,MTBF %,NFF Rate,NFF Rate UCL
Own Configuration,2022-08-01,2023-07-31,3291432-2,LOAD CONTROL VALVE,49,8648,1,0.115633673,0.101432696,0,0,0,0,0,1,100,8648,8648,100,1248,,,,,
Own Configuration,2022-08-01,2023-07-31,341F010000,THERMSTT,36,56251,1,0.017777462,0.028583998,1,0.017777462,1,0,0,0,0,56251,52682.77176,106.7730458,0,56251,52682.77176,106.7730458,0,0
Own Configuration,2022-05-01,2023-04-30,341F010000,THERMSTT,36,58487,1,0.017097817,0.014998033,1,0.017097817,1,0,0,0,0,58487,58487,100,0,58487,58487,100,0,0
Own Configuration,2022-06-01,2023-05-31,341F010000,THERMSTT,36,60065,1,0.016648631,0.020875831,1,0.016648631,1,0,0,0,0,60065,56207.51012,106.8629439,0,60065,56207.51012,106.8629439,0,0
Own Configuration,2022-07-01,2023-06-30,341F010000,THERMSTT,36,61773,1,0.016188302,0.02486995,1,0.016188302,1,0,0,0,0,61773,55588.90488,111.1246932,0,61773,55588.90488,111.1246932,0,0
Own Configuration,2022-08-01,2023-07-31,3800708-1,APU,49,8526,1,0.117288295,0.102884114,0,0,0,0,0,1,100,8526,8526,100,442,,,,,
Own Configuration,2022-05-01,2023-04-30,3886188-3,ACTUATOR,49,6348,1,0.157529931,0.138183673,0,0,0,0,1,0,0,6348,6348,100,943,,,,1,1
Own Configuration,2022-06-01,2023-05-31,3886188-3,ACTUATOR,49,7112,1,0.140607424,0.184721425,0,0,0,0,1,0,0,7112,5244.368653,135.6121293,943,,,,1,1
Own Configuration,2022-08-01,2023-07-31,3886188-3,ACTUATOR,49,8656,1,0.115526802,0.229455843,0,0,0,0,1,0,0,8656,4759.889235,181.8529712,943,,,,1,1
Own Configuration,2022-07-01,2023-06-30,3886188-3,ACTUATOR,49,7947,1,0.125833648,0.212081172,0,0,0,0,1,0,0,7947,4936.319316,160.9903957,943,,,,1,1
Own Configuration,2022-03-01,2023-02-28,3888058-5,EXCITER,49,2157,1,0.463606861,5.848187329,0,0,0,0,0,1,100,2157,0,,225,,,,,
Own Configuration,2022-04-01,2023-03-31,3888058-5,EXCITER,49,4329,1,0.231000231,5.660161054,0,0,0,0,0,1,100,4329,0,,225,,,,,
Own Configuration,2022-05-01,2023-04-30,3888058-5,EXCITER,49,4789,1,0.208811861,5.633765989,0,0,0,0,0,1,100,4789,0,,225,,,,,
Own Configuration,2022-06-01,2023-05-31,3888058-5,EXCITER,49,5376,1,0.186011905,5.609016043,0,0,0,0,0,1,100,5376,0,,225,,,,,
Own Configuration,2021-11-01,2022-10-31,3888058-5,EXCITER,49,942,1,1.061571125,7.026204544,0,0,0,0,0,1,100,942,0,,225,,,,,
Own Configuration,2021-12-01,2022-11-30,3888058-5,EXCITER,49,1226,1,0.815660685,6.646575911,0,0,0,0,0,1,100,1226,0,,225,,,,,
Own Configuration,2022-01-01,2022-12-31,3888058-5,EXCITER,49,1590,1,0.628930818,6.339784877,0,0,0,0,0,1,100,1590,0,,225,,,,,
Own Configuration,2022-02-01,2023-01-31,3888058-5,EXCITER,49,1898,1,0.52687039,6.078030468,0,0,0,0,0,1,100,1898,0,,225,,,,,
Own Configuration,2021-09-01,2022-08-31,3888058-5,EXCITER,49,338,1,2.958579882,8.201648869,0,0,0,0,0,1,100,338,107.479402,314.4788616,225,,,,,
Own Configuration,2021-10-01,2022-09-30,3888058-5,EXCITER,49,644,1,1.552795031,7.518214056,0,0,0,0,0,1,100,644,0,,225,,,,,
Own Configuration,2022-08-01,2023-07-31,4197-20-02,BLSTUNIT,33,10769,1,0.092859133,0.195305311,0,0,0,0,0,1,100,10769,10385.20665,103.6955774,222,,,,,
Own Configuration,2022-07-01,2023-06-30,4197-20-02,BLSTUNIT,33,10612,1,0.094232944,0.181025874,0,0,0,0,0,1,100,10612,10612,100,222,,,,,
Own Configuration,2022-08-01,2023-07-31,4205401,PUMP-HYDRAULIC,29,7328,1,0.136462882,0.200376323,0,0,0,0,0,1,100,7328,7073.963869,103.5911426,1523,,,,,
Own Configuration,2022-07-01,2023-06-30,4205401,PUMP-HYDRAULIC,29,7605,1,0.131492439,0.164495023,0,0,0,0,0,1,100,7605,7199.205754,105.636653,1523,,,,,
Own Configuration,2022-06-01,2023-05-31,4205401,PUMP-HYDRAULIC,29,7439,1,0.13442667,0.117917725,0,0,0,0,0,1,100,7439,7439,100,1523,,,,,
Own Configuration,2022-05-01,2023-04-30,4315542,LIGHT,33,42321,2,0.047257863,1.215870268,0,0,0,0,0,2,100,21161,0,,2,,,,,
